City Name,Transportation,Education,Costs,Security,Environment
Tel Aviv,100,80,100,80,75
Herzliya,80,80,80,100,100
Givataym,100,80,80,100,75
Raanana,80,80,80,100,100
Kfar Saba,80,80,80,100,100
Petah Tiqua,80,60,80,100,100
Rishon Letzion,80,80,80,100,100
Ramat Gan,100,80,80,100,75
Holon,80,60,80,100,100
Bat Yam,80,60,80,100,100
Modiyn,60,100,80,100,75
Jerusalem,80,60,80,80,75
Rehovot,80,60,80,100,75
Netanya,80,60,80,100,100
Ashkelon,80,80,60,100,100
Ashdod,80,80,60,100,100
Haifa,80,80,60,80,75
Eilat,60,60,60,80,50
Beer Sheva,60,60,60,100,75
Qiryat Byalik,60,60,60,100,100
Afula,60,60,60,100,75
Qiryat Gat,60,60,60,80,75
Shderot,60,60,40,60,75
Gedera,80,60,80,80,75
Qiryat Shmona,40,60,40,60,100
Aco,60,40,60,80,100
Zichron Yaakov,60,80,80,100,100
Qiryat Ata,60,60,60,100,100
Naariya,60,60,60,100,100
Hedera,80,60,60,100,75
Arad,40,60,60,100,75